S1_mean,S1_t1,S1_t2,S1_t3,S1_t4,S1_t5,S1_t6,S1_t7,S1_t8,S1_t9,S1_t10,S2_mean,S2_t1,S2_t2,S2_t3,S2_t4,S2_t5,S2_t6,S2_t7,S2_t8,S2_t9,S2_t10,Label,Timestamp
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
251.8,250.0,251.0,252.0,252.0,252.0,252.0,252.0,253.0,252.0,252.0,284.0,283.0,284.0,284.0,284.0,286.0,284.0,282.0,284.0,285.0,284.0,0.0,2021-04-18 14:10:40.300441
253.4,251.0,254.0,256.0,255.0,254.0,254.0,252.0,253.0,252.0,253.0,283.6,285.0,283.0,283.0,283.0,282.0,283.0,285.0,282.0,285.0,285.0,0.0,2021-04-18 14:10:43.020576
252.9,253.0,253.0,253.0,253.0,252.0,253.0,252.0,253.0,253.0,254.0,284.3,283.0,283.0,285.0,285.0,285.0,284.0,285.0,285.0,284.0,284.0,0.0,2021-04-18 14:10:45.683423
251.0,250.0,250.0,250.0,250.0,250.0,251.0,253.0,251.0,253.0,252.0,283.0,284.0,283.0,283.0,283.0,283.0,283.0,282.0,283.0,284.0,282.0,0.0,2021-04-18 14:10:50.760454
251.8,252.0,252.0,251.0,253.0,254.0,252.0,252.0,251.0,250.0,251.0,284.9,283.0,284.0,284.0,284.0,285.0,286.0,285.0,287.0,285.0,286.0,0.0,2021-04-18 14:10:51.576639
250.6,247.0,249.0,250.0,250.0,250.0,251.0,252.0,252.0,253.0,252.0,280.5,282.0,279.0,280.0,281.0,280.0,281.0,279.0,280.0,281.0,282.0,0.0,2021-04-18 14:10:52.361858
250.1,252.0,252.0,252.0,250.0,250.0,249.0,249.0,248.0,249.0,250.0,282.5,282.0,282.0,281.0,283.0,283.0,283.0,283.0,283.0,283.0,282.0,0.0,2021-04-18 14:10:53.192295
250.8,249.0,249.0,248.0,251.0,252.0,252.0,253.0,251.0,252.0,251.0,281.0,281.0,280.0,281.0,281.0,281.0,281.0,282.0,281.0,281.0,281.0,0.0,2021-04-18 14:10:53.978340
250.2,250.0,250.0,250.0,250.0,250.0,251.0,251.0,250.0,250.0,250.0,282.0,283.0,282.0,283.0,283.0,282.0,282.0,280.0,282.0,281.0,282.0,0.0,2021-04-18 14:10:55.291843
250.4,249.0,249.0,250.0,250.0,252.0,251.0,251.0,251.0,250.0,251.0,281.0,281.0,281.0,280.0,281.0,280.0,282.0,280.0,282.0,281.0,282.0,0.0,2021-04-18 14:10:56.077814
